study,database,studyID,taxon,taxon_new,realm,climate,study_name,min_lat,max_lat,min_long,max_long,cent_lat,cent_long,mean_grain_m2,sd_grain_m2,extent_km2,start_year,end_year,n_years,duration,min_samp,max_samp,nsamp_same,sprich,sprich_range,Psprich_range,continent,ocean
mr_sfd_99,mr,sfd_99,birds,Birds,Terrestrial,Temperate,santana_2017_SPA Castro Verde High-intensity,38.0499992370606,38.0499992370606,-8.10000038146973,-8.10000038146973,38.0499992370606,-8.10000038146973,321200,0,423.92,1995,2012,3,18,24,24,TRUE,60,58,0.9667,Europe,NA
mr_sfd_100,mr,sfd_100,birds,Birds,Terrestrial,Temperate,santana_2017_SPA Castro Verde Low-intensity,37.6833343505859,37.6833343505859,-8,-8,37.6833343505859,-8,321200,0,456.08,1995,2012,5,18,39,43,FALSE,68,66,0.9706,Europe,NA
mr_sfd_102,mr,sfd_102,marine plants,Plants,Marine,Temperate,sorte_2018a_Gulf of Maine,42.4200477600098,44.3825988769531,-70.9059524536133,-68.0958023071289,43.63051223754882,-69.49391555786136,0.25,0,45,1974,2014,4,41,4,4,TRUE,60,29,0.4833,NA,Gulf of Maine
mr_sfd_103,mr,sfd_103,invertebrates,Invertebrates,Marine,Temperate,sorte_2018b_Gulf of Maine,42.4200477600098,44.3825988769531,-70.9059524536133,-68.0958023071289,43.63051223754882,-69.49391555786136,0.25,0,45,1974,2014,4,41,4,4,TRUE,37,19,0.5135,NA,Gulf of Maine
mr_sfd_104,mr,sfd_104,plants,Plants,Terrestrial,Tropical,"sperandii_2020_Coastal dunes, Italy",13.4799995422363,13.4799995422363,42.0099983215332,42.0099983215332,13.4799995422363,42.0099983215332,4,0,20,2007,2017,2,11,256,256,TRUE,178,166,0.9326,Africa,NA
mr_sfd_105,mr,sfd_105,marine plants,Plants,Marine,Temperate,starko_2019_Barkley Sound,48.8120422363281,48.9257316589356,-125.373138427734,-125.115043640137,48.869098901748664,-125.20845222473146,40,0,162.604504347753,1993,2018,4,26,46,48,FALSE,19,14,0.7368,NA,Pacific Ocean
mr_sfd_111,mr,sfd_111,plants,Plants,Terrestrial,Temperate,vojik_2018_Klinec forest,49.9007987976074,49.9007987976074,14.3425998687744,14.3425998687744,49.9007987976074,14.3425998687744,500,0,10,1957,2015,2,59,29,29,TRUE,125,122,0.976,Europe,NA
mr_sfd_113,mr,sfd_113,invertebrates,Invertebrates,Terrestrial,Tropical,willig_2010_Luquillo Forest Dynamics Plot (LFDP),18.3332996368408,18.3332996368408,-65.8167037963867,-65.8167037963867,18.3332996368408,-65.8167037963867,28.2743338823081,0,0.16,1992,2012,20,21,38,39,FALSE,18,14,0.7778,South America,NA
mr_sfd_114,mr,sfd_114,invertebrates,Invertebrates,Terrestrial,Temperate,wright_2021_desert grassland,34.3362007141113,34.3362007141113,-106.721199035645,-106.721199035645,34.3362007141113,-106.721199035645,1.539380400259,0,0.6,2002,2019,16,18,5,5,TRUE,221,181,0.819,North America,NA
mr_sfd_115,mr,sfd_115,invertebrates,Invertebrates,Terrestrial,Temperate,wright_2021_desert shrubland,34.3329010009766,34.3329010009766,-106.735801696777,-106.735801696777,34.3329010009766,-106.735801696777,1.539380400259,0,0.56,2002,2019,16,18,5,5,TRUE,239,189,0.7908,North America,NA
mr_sfd_116,mr,sfd_116,invertebrates,Invertebrates,Terrestrial,Temperate,wright_2021_plains grasslands,34.3363990783691,34.3363990783691,-106.634498596191,-106.634498596191,34.3363990783691,-106.634498596191,1.539380400259,0,0.64,2002,2019,16,18,5,5,TRUE,250,194,0.776,North America,NA
